SKU,Parent Product SKU,Product Name,Category,Price Type,Unit,Tax-Exclusive Price,Min Price,Max Price,Cost,Supplier Price,Product Tags,Inventory Type,Track Stock Levels,Barcode,Variant Name 1,Variant Value 1,"Gembira Momento_Quantity","Gembira Momento_Warning Stock Level","Gembira Momento_Ideal Stock Level",Supplier,Tax Name,Store Credits,Kitchen Station,Product Id,Online Price,Online Discounted Price,Product Description
#Required(Must be unique),,Required,Optional,Required(Fixed/Variable/Unit),Required if the price type is Unit. Leave this field empty if the price Type is either Fixed or Variable.,Optional; 0 by default,Optional (This field can only be modified when pricing type is variable); The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional (This field can only be modified when pricing type is variable); The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional,Optional(this field can only be modified if 'Fix Supplier Price' is selected for at least one store in Account Settings),Optional(Use ; to separate multiple tags),Optional(Simple/Composite/Serialized; Simple by default if tracking inventory),Required; Enter 0 to disable; 1 to enable,Optional(Must be unique if specified),,,Optional; 0 by default if tracking inventory,Optional,Optional,Optional(Use ; to separate multiple suppliers),Optional,Optional,Optional; Leave it blank for Default Kitchen Station; Enter 'Do Not Print Kitchen Docket' to not print kitchen docket,Please DO NOT TOUCH this column; as it contains each product's unique reference ID. Doing so will result in unsuccessful import for all products listed in this sheet.,Optional; The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional; The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional
"SHA00041","","Angpau Purse (35)","Bag","Fixed","","35.00","","","8.00","","","Simple","1","","","","6.00","","","Inaranur","","","Do Not Print Kitchen Docket","6a50c0c4e8eacb0007a9a654","","",""
"SH0080","","BAG AKAR","Bag","Fixed","","59.00","","","16.00","","","Simple","1","","","","","","","Lucy","","","","69dc60e37bb1b80007962f8b","","",""
"SH0085","","Badminton Racket Bag (49)","Bag","Fixed","","49.00","","","25.00","","","Simple","1","","","","9.00","","","Petronas Shop","","","Do Not Print Kitchen Docket","69dc60e47bb1b80007962fcc","","",""
"SHA00009","","Bag (300)","Bag","Fixed","","300.00","","","195.00","","","Simple","1","","","","","","","Bag Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","6a2e4ed7d4cda400078c51c1","","",""
"SHA00010","","Bag Anyam (169)","Bag","Fixed","","169.00","","","","","","Simple","1","","","","4.00","","","Bag Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","6a27950a5d780500078b064b","","",""
"SHA00048","","Bag Anyam (189)","Bag","Fixed","","189.00","","","90.00","","","","0","","","","","","","Bag Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","69e24277f0aea40007788edb","","",""
"SHA00025","","Bag Baggie Round (199)","Bag","Fixed","","199.00","","","100.00","","","Simple","1","","","","2.00","","","Bag Syamil (Consignment)","","","Do Not Print Kitchen Docket","6a4f6374f2658200076d4541","","",""
"SHA00026","","Bag Baggie Square (169)","Bag","Fixed","","169.00","","","100.00","","","Simple","1","","","","3.00","","","Bag Syamil (Consignment)","","","Do Not Print Kitchen Docket","6a4f63d20b12d90007d85401","","",""
"SHA00028","","Bag Picnic (170)","Bag","Fixed","","170.00","","","0.00","","","Simple","1","","","","1.00","","","Gembira","","","Do Not Print Kitchen Docket","6a4f6720e0be950008b4d2bf","","",""
"SHA00049","","Bag Rotan Handmade","Bag","Fixed","","280.00","","","","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","69ee28aa8105f400074b910d","","",""
"SHA00050","","Bag anyam (229)","Bag","Fixed","","229.00","","","","","","","0","","","","","","","Bag Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","6a2794f1ed0c3100072848bb","","",""
"SHA00044","","Batik Card Holder (29)","Accessories","Fixed","","29.00","","","8.00","","","Simple","1","","","","1.00","","","Inaranur","","","Do Not Print Kitchen Docket","6a50c17cee7d7c0007af3396","","",""
"SHA00011","","Batik Painting Kit (10)","Stationary","Fixed","","20.00","","","10.00","","","Simple","1","","","","4.00","","","Gembira","","","Do Not Print Kitchen Docket","69fab76f9e9dc50007064d15","","",""
"SHA00042","","Batik Pencil Case (29)","Bag","Fixed","","29.00","","","7.00","","","Simple","1","","","","3.00","","","Inaranur","","","Do Not Print Kitchen Docket","6a50c0ffc340d400078e78fd","","",""
"SH0004","","Batik Shirt Men (150)","Shirt","Fixed","","150.00","","","80.00","","","Simple","1","","","","13.00","","","Lucy","","","Do Not Print Kitchen Docket","69dc60e17bb1b80007962baf","","",""
"SHA00012","","Bracelet (10)","Accessories","Fixed","","10.00","","","2.50","","","Simple","1","","","","9.00","","","Gembira","","","Do Not Print Kitchen Docket","6a1af4e4cf8905000775cc01","","",""
"SHA00051","","Bracelet (40)","Accessories","Fixed","","40.00","","","15.00","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","6a1c01e1174ee00007121980","","",""
"SH0051","","CAR FRAGRANCE","Fragrance","Fixed","","29.00","","","18.85","","","Simple","1","","","","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962e12","","",""
"SH0051-Eastern Oriental","SH0051","CAR FRAGRANCE(Eastern Oriental)","Fragrance","Fixed","","29.00","","","18.85","","","Simple","1","","Car Fragrance","Eastern Oriental","6.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dddd91e09cc100060b5377","","",""
"SH0051-Ocean Dawn","SH0051","CAR FRAGRANCE(Ocean Dawn)","Fragrance","Fixed","","29.00","","","18.85","","","Simple","1","","Car Fragrance","Ocean Dawn","15.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dddd91e09cc100060b5373","","",""
"SH0051-Summer Rain","SH0051","CAR FRAGRANCE(Summer Rain)","Fragrance","Fixed","","29.00","","","18.85","","","Simple","1","","Car Fragrance","Summer Rain","12.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dddd91e09cc100060b536e","","",""
"SHA00013","","Card Holder (39)","Decoration","Fixed","","39.00","","","10.00","","","Simple","1","","","","6.00","","","Jeff","","","Do Not Print Kitchen Docket","6a3bb06ecbe3fe0007bbbe8c","","",""
"SHA00007","","Ceramic Ashtray (39)","Decoration","Fixed","","39.00","","","9.50","9.50","","Simple","1","","","","9.00","","","Jeff","","","Do Not Print Kitchen Docket","6a4b8416cf716700085a48e0","","",""
"SHA00043","","Coci Pouch (15)","Bag","Fixed","","15.00","","","5.00","","","Simple","1","","","","1.00","","","Inaranur","","","Do Not Print Kitchen Docket","6a50c120ee7d7c0007af1ab6","","",""
"SHA00004","","Coin Purse (15)","Bag","Fixed","","15.00","","","3.00","3.00","","Simple","1","","","","16.00","","","Jeff","","","Do Not Print Kitchen Docket","6a4b69c9ea60e30007f8cbfa","","",""
"SHAA00053","","Dora Tiffin 2 Tier","Tiffin Jeiwa","Fixed","","390.00","","","273.00","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","6a016d0f8de7b3000744b7ea","","",""
"SH0050","","ENAMEL PIN M SIZE","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","","","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962e05","","",""
"SH0049","","ENAMEL PIN S SIZE","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","","","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962df8","","",""
"SH0049-NASI LEMAK","SH0049","ENAMEL PIN S SIZE(NASI LEMAK)","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","S SIZE","NASI LEMAK","18.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde24d767d48000722701d","","",""
"SH0049-SARAPAN PAGI","SH0049","ENAMEL PIN S SIZE(SARAPAN PAGI)","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","S SIZE","SARAPAN PAGI","17.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde24d767d480007227020","","",""
"SH0049-SATE","SH0049","ENAMEL PIN S SIZE(SATE)","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","S SIZE","SATE","15.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde24d767d480007227023","","",""
"SH0049-TEH TARIK","SH0049","ENAMEL PIN S SIZE(TEH TARIK)","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","S SIZE","TEH TARIK","11.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde24d767d480007227019","","",""
"SH0049-WAN TAN MEE","SH0049","ENAMEL PIN S SIZE(WAN TAN MEE)","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","S SIZE","WAN TAN MEE","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde24d767d480007227026","","",""
